id,ranked,time_control,status,winner,white,black,moves
23842e32-a9a4-11df-8000-000000010001,True,blitz,resigned,MennaBarreto,soloinstinto77,MennaBarreto,1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 e6 5. Nf3 cxd4 6. cxd4 Nc6 7. Nc3 Nxc3 8. bxc3 d6 9. exd6 Bxd6 10. Bd3 Be7 11. O-O O-O 12. Re1 b6 13. h4 Bb7 14. Ng5 h6 15. Qh5 e5 16. Nxf7 Rxf7 17. Qg6 Bxh4 18. g3 Qf6 19. Qh7+ Kf8 20. Be3 Nxd4 21. Be4 Nf3+ 22. Kg2 Nxe1+ 23. Rxe1 Bxe4+ 24. Qxe4 Re8 25. Qxh4 Qxh4 26. gxh4 Rd7 27. a4 Rd3 28. Rc1 Rc8 29. c4 Ra3 30. c5 Rxa4 31. c6 b5 32. Bc5+ Kf7 33. Bd6 Rc4 34. Ra1 R8xc6 35. Rxa7+ Kg6 36. Bxe5 Kf5 37. Bxg7 Rc7 38. Rxc7 Rxc7 39. Bxh6 b4 40. Be3 b3 41. Bd4 Rc2 42. Kg3 b2 43. Bxb2 Rxb2 44. h5 Rb3+ 0-1
a73e1a9e-a9a4-11df-8000-000000010001,True,blitz,timeout,MennaBarreto,MennaBarreto,redouble724,1. e4 c5 2. Nf3 g6 3. g3 Bg7 4. Bg2 Nf6 5. e5 Ng4 6. d4 cxd4 7. Qxd4 Nxe5 8. Nxe5 Qa5+ 9. Bd2 Qxe5+ 10. Qxe5 Bxe5 11. Nc3 O-O 12. O-O-O d6 13. Rhe1 Nc6 14. f4 Bf6 15. Nd5 Kg7 16. Nxf6 Kxf6 17. Bc3+ e5 18. Rxd6+ Kg7 19. Bxc6 bxc6 20. Bxe5+ Kg8 21. Rxc6 Bf5 22. Bf6 Rac8 23. Rxc8 Rxc8 24. c3 h5 25. Rd1 Kh7 26. b4 Be6 27. a4 Bb3 28. Rd7 Bxa4 29. Rxf7+ Kg8 30. Rxa7 Bb3 31. b5 Bd5 32. b6 Rb8 33. Bd4 Rb7 34. Rxb7 Bxb7 35. c4 Kf7 36. c5 1-0
e4bca9bc-aa71-11df-8000-000000010001,True,blitz,resigned,MennaBarreto,rmanten,MennaBarreto,1. d4 Nf6 2. Nf3 g6 3. Bf4 Bg7 4. Nbd2 d5 5. e3 O-O 6. h3 c5 7. c3 Nc6 8. dxc5 Nd7 9. e4 Nxc5 10. exd5 Qxd5 11. Bc4 Nd3+ 12. Bxd3 Qxd3 13. Qe2 Bf5 14. g4 Qxe2+ 15. Kxe2 Be6 16. Nb3 Bc4+ 17. Ke3 e5 18. Bg3 f5 19. Bh2 e4 20. Nfd2 Bh6+ 21. f4 exf3+ 22. Kxf3 Bd5+ 23. Kg3 fxg4 24. Rhf1 gxh3 25. Kxh3 Rfe8 26. Rae1 Be6+ 27. Kg2 Rad8 28. Kg1 Bxd2 0-1
70363a80-aa72-11df-8000-000000010001,True,blitz,resigned,MennaBarreto,MennaBarreto,PanosAvg,1. e4 c5 2. Nf3 e6 3. Nc3 Nc6 4. g3 d5 5. exd5 exd5 6. d4 Nf6 7. Bg2 cxd4 8. Nxd4 Bc5 9. Nxc6 bxc6 10. O-O O-O 11. Bf4 Bf5 12. Na4 Be7 13. Qd4 Ne4 14. Rad1 Bf6 15. Be5 Bxe5 16. Qxe5 Re8 17. Qxf5 1-0
bd1a110a-aa72-11df-8000-000000010001,True,blitz,checkmated,MennaBarreto,ddt10,MennaBarreto,1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Qxd4 Nc6 5. Bb5 Bd7 6. Bxc6 Bxc6 7. Bg5 Nf6 8. Bxf6 gxf6 9. Nc3 e6 10. O-O-O Be7 11. Qe3 O-O 12. Nd4 Qb6 13. Nxc6 Qxe3+ 14. fxe3 bxc6 15. a3 Rab8 16. Ne2 Rb6 17. b3 d5 18. a4 dxe4 19. Nd4 f5 20. g4 fxg4 21. Rdg1 f5 22. h3 h5 23. Nxe6 Rf6 24. Nf4 Bc5 25. Nxh5 Bxe3+ 26. Kb1 Rg6 27. Rg2 c5 28. hxg4 Rxg4 29. Rxg4+ fxg4 30. Rh2 Rh6 31. c4 g3 32. Rg2 Rxh5 33. Rxg3+ Bg5 34. Kc2 Kf7 35. Rg4 Rh2+ 36. Kc3 Bf6# 0-1
2ac63d78-aa73-11df-8000-000000010001,True,blitz,resigned,MennaBarreto,MennaBarreto,allanjw,1. Nf3 d5 2. g3 Nf6 3. Bg2 e6 4. O-O Bd6 5. c4 c6 6. b3 O-O 7. Bb2 Nbd7 8. d4 a5 9. Nc3 b6 10. e4 Bb8 11. e5 Ne8 12. Re1 Bb7 13. cxd5 exd5 14. Ba3 c5 15. dxc5 Nxc5 16. Nd4 Nc7 17. Qg4 N7e6 18. Rad1 Nxd4 19. Rxd4 Re8 20. Nxd5 Qc8 21. Nf6+ Kh8 22. Nxe8 Qxe8 23. Bxc5 Bxg2 24. Bxb6 1-0
9a3c2cb2-aa73-11df-8000-000000010001,True,blitz,timeout,MennaBarreto,MennaBarreto,onixes,1. Nf3 c6 2. g3 d5 3. Bg2 Nf6 4. O-O Bg4 5. h3 Bh5 6. d3 e6 7. Nbd2 Bc5 8. a3 Nbd7 9. b4 Bb6 10. Bb2 O-O 11. c4 a6 12. e4 Ba7 13. e5 Ne8 14. c5 Nxc5 15. bxc5 Bxc5 16. g4 Bg6 17. Nb3 Ba7 18. d4 Rc8 19. a4 b5 20. Ba3 Nc7 21. Bxf8 Qxf8 22. axb5 Nxb5 23. Rxa6 Qb4 24. Na5 c5 25. Nc6 Qb2 26. Nxa7 Nxa7 27. Rxa7 c4 28. Nh4 Bd3 29. Qf3 h6 30. Qxf7+ 1-0
336b436e-aa74-11df-8000-000000010001,True,blitz,resigned,18181816,18181816,MennaBarreto,1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Bd3 Ngf6 6. Ng5 e6 7. N1f3 Be7 8. O-O O-O 9. Ne5 h6 10. Nxd7 Bxd7 11. Ne4 c5 12. Nxf6+ Bxf6 13. dxc5 Qc7 14. c3 Qxc5 15. Be3 Qd5 16. Qc2 Bc6 17. f3 Rfd8 18. Be4 Qc4 19. Bxc6 Qxc6 20. Rad1 a6 21. Rxd8+ Rxd8 22. Rd1 Rd5 23. Kf2 b5 24. g3 Kf8 25. Qe4 Ke7 26. Rxd5 Qxd5 27. Qxd5 exd5 28. Ke2 Ke6 29. Kd3 Bd8 30. Bd4 g6 31. g4 f5 32. h3 fxg4 33. fxg4 h5 34. gxh5 gxh5 35. Bh8 Bb6 36. Bd4 Bc7 37. Bh8 Bg3 38. b3 Kd6 39. c4 dxc4+ 40. bxc4 b4 41. Bd4 Be5 42. c5+ Kd5 43. Bxe5 Kxe5 44. Kc4 a5 45. Kb5 Kd5 46. c6 Kd6 47. Kxa5 Kxc6 48. Kxb4 Kb6 49. Kc4 Ka5 50. Kd5 Ka4 51. Ke5 Ka3 52. Kf5 Kxa2 53. Kg5 Kb3 54. Kxh5 Kc4 55. Kg6 Kd5 56. h4 Ke6 57. h5 Ke7 58. Kg7 Ke6 59. h6 Kf5 60. h7 1-0
cefcb394-aa74-11df-8000-000000010001,True,blitz,timeout,MennaBarreto,MennaBarreto,Anatoly499,1. Nf3 Nf6 2. g3 g6 3. Bg2 Bg7 4. O-O O-O 5. Re1 d5 6. d3 c5 7. Nbd2 Nc6 8. e4 dxe4 9. dxe4 Bg4 10. h3 Bxf3 11. Bxf3 Nd7 12. c3 Nde5 13. Be2 Nd3 14. Bxd3 Qxd3 15. Nf3 Rad8 16. Qxd3 Rxd3 17. Be3 b6 18. Red1 Rfd8 19. Rxd3 Rxd3 20. Kf1 f5 21. Ke2 Rd7 22. Rd1 Rxd1 23. Kxd1 h6 24. exf5 gxf5 25. Kc2 Kf7 26. Kd3 Na5 27. b4 c4+ 28. Kc2 Nc6 29. b5 Na5 30. Bd4 Bxd4 31. cxd4 Ke6 32. Kc3 Kd5 33. Nh4 e6 34. Ng2 e5 35. dxe5 Kxe5 36. f3 Nb7 37. Kxc4 Nd6+ 38. Kb4 Kd4 39. g4 fxg4 40. hxg4 Kd3 41. f4 Ke4 42. g5 hxg5 43. fxg5 1-0
666206a8-aa75-11df-8000-000000010001,True,blitz,timeout,MennaBarreto,MennaBarreto,Newbe007,1. Nf3 d5 2. g3 Nf6 3. Bg2 Bg4 4. O-O Nbd7 5. b3 e6 6. Bb2 Be7 7. c4 c6 8. Ne5 Nxe5 9. Bxe5 O-O 10. d3 Nd7 11. Bb2 Bf6 12. Qc2 Bxb2 13. Qxb2 Qf6 14. Qxf6 Nxf6 15. Re1 Bh5 16. Nc3 Rfe8 17. Rac1 Rad8 18. cxd5 exd5 19. d4 Re7 20. e3 Bg6 21. b4 a6 22. Na4 Nd7 23. Nc5 Nxc5 24. bxc5 Bf5 25. Rc3 Bc8 26. Rb1 f5 27. h4 g6 28. Bf3 Kg7 29. Kg2 h6 30. Rcc1 Kf6 31. a4 Rde8 32. Kf1 Rd8 33. Ke2 Rde8 34. Kd2 Rd8 35. Kc3 Rh8 36. Kb4 g5 37. Rh1 g4 38. Be2 h5 39. Bd3 Rhe8 40. Ka5 Rd8 41. Rb6 Rdd7 42. Rhb1 Rc7 43. R1b2 Rf7 44. R6b4 Rfe7 45. Kb6 Rf7 46. Ka5 Rfe7 47. Kb6 Rf7 48. Rb1 Rfe7 49. Rf1 Rcd7 50. Ka5 Kg6 51. Rb2 Re6 52. Re2 Rde7 53. Kb4 Re8 54. Kc3 Kf6 55. Kd2 R6e7 56. a5 Re6 57. f3 gxf3 58. Rxf3 R6e7 59. Ref2 Kg6 60. Bxf5+ Bxf5 61. Rxf5 Rxe3 62. Rg5+ Kh6 63. Rf6+ Kh7 64. Rf7+ Kh6 65. Rgf5 Rxg3 66. R5f6+ Rg6 67. Rxg6+ Kxg6 68. Rxb7 Re4 69. Kd3 Rxh4 70. Rb6 Rh3+ 71. Kc2 Rf3 72. Rxc6+ Kg5 73. Rd6 h4 74. Rxd5+ Kg4 75. Rd8 Rf7 76. Rh8 1-0
264f5416-aa76-11df-8000-000000010001,True,blitz,checkmated,seoulmama,MennaBarreto,seoulmama,1. Nf3 Nf6 2. b4 e6 3. a3 b6 4. Bb2 Bb7 5. e3 Be7 6. c4 O-O 7. Nc3 d5 8. d4 c5 9. dxc5 bxc5 10. b5 Nbd7 11. a4 Nb6 12. a5 Nxc4 13. Bxc4 dxc4 14. a6 Qxd1+ 15. Rxd1 Bxf3 16. gxf3 Rfd8 17. e4 Rd3 18. Rc1 Rxf3 19. Ke2 Rd3 20. f3 Rad8 21. Rhd1 Nh5 22. Rxd3 cxd3+ 23. Kd1 Bg5 24. Rb1 Nf4 25. Na4 c4 26. Be5 Ng2 27. f4 Bxf4 28. Bxf4 Nxf4 29. b6 axb6 30. Rxb6 Ne2 31. a7 c3 32. Nxc3 Nxc3+ 33. Kd2 Nxe4+ 34. Ke3 d2 35. Rb8 d1=Q 36. a8=Q Qd3+ 37. Kf4 g5+ 38. Ke5 Qd4# 0-1
